,food_name,fdc_id,price_per_100_g,203,204,205,207,208,209,210,211,212,213,214,221,255,262,263,269,287,291,301,303,304,305,306,307,309,312,313,315,317,318,319,320,321,322,323,324,325,326,328,334,337,338,341,342,343,344,345,346,347,401,404,405,406,410,415,417,418,421,428,429,430,431,432,435,454,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,521,573,578,601,605,606,607,608,609,610,611,612,613,614,615,617,618,619,620,621,624,625,626,627,628,629,630,631,636,638,639,641,645,646,652,653,654,662,663,664,665,666,670,671,672,673,674,675,676,685,687,689,693,695,696,697,851,852,853,856,857,858
9,Beef,168608,1.3227746521102666,19.42,12.73,0.0,1.71,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.13,0.0,0.0,0.0,0.0,0.0,12.0,1.99,19.0,175.0,289.0,68.0,4.55,0.063,0.0,0.01,14.2,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.154,4.818,0.576,0.355,6.0,1.97,67.4,0.0,0.0,1.1,0.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.751,5.335,0.0,0.0,0.001,0.005,0.009,0.345,2.747,1.98,0.019,4.363,0.426,0.071,0.012,0.0,0.003,0.074,0.347,0.002,0.015,0.001,0.0,0.016,0.0,0.0,0.0,0.0,4.8,0.532,0.078,0.147,0.0,0.0,0.615,0.0,0.136,0.0,0.109,0.0,0.001,0.0,3.748,0.181,0.0,0.0,0.0,0.001,0.615,0.136,0.0,0.002,0.071,0.0,0.0,0.0,0.0,0.0
10,Beef Liver,169451,0.33069366302756664,20.36,3.63,3.89,1.31,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.81,0.0,0.0,0.0,0.0,0.0,5.0,4.9,18.0,387.0,313.0,69.0,4.0,9.755,0.0,0.31,39.7,16898.0,4948.0,4968.0,232.0,11.0,0.38,49.0,0.0,1.2,1.2,13.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.3,0.189,2.755,13.175,7.173,1.083,290.0,59.3,333.3,0.0,0.0,3.1,0.0,290.0,290.0,4.4,0.263,0.869,0.967,1.91,1.607,0.543,0.376,1.084,0.807,1.26,1.241,0.629,1.164,1.927,2.612,1.164,0.961,0.905,0.046,0.0,0.0,275.0,0.17,1.233,0.0,0.0,0.0,0.0,0.0,0.015,0.312,0.862,0.0,0.423,0.299,0.016,0.141,0.0,0.009,0.0,0.036,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.465,0.007,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.299,0.0,0.009,0.013,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
11,Black Beans,173734,0.2920025044533413,21.6,1.42,62.36,3.6,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,0.0,0.0,2.12,0.0,15.5,123.0,5.02,171.0,352.0,1483.0,5.0,3.65,0.841,0.0,1.06,3.2,17.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.193,1.955,0.899,0.286,444.0,0.0,66.4,0.0,0.0,5.6,0.0,444.0,444.0,0.0,0.256,0.909,0.954,1.725,1.483,0.325,0.235,1.168,0.608,1.13,1.337,0.601,0.905,2.613,3.294,0.843,0.916,1.175,0.0,0.0,0.0,0.0,0.0,0.366,0.0,0.0,0.0,0.0,0.0,0.001,0.343,0.022,0.0,0.123,0.332,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Blueberries,171711,0.5805510973150615,0.74,0.33,14.49,0.24,57.0,0.03,0.11,4.88,4.97,0.0,0.0,0.0,84.21,0.0,0.0,9.96,0.0,2.4,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.0,0.336,0.1,54.0,0.0,3.0,32.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.01,0.36,0.03,0.0,0.0,0.07,0.0,9.7,0.037,0.041,0.418,0.124,0.052,6.0,0.0,6.0,0.0,0.0,19.3,0.0,6.0,6.0,0.2,0.003,0.02,0.023,0.044,0.013,0.012,0.008,0.026,0.009,0.031,0.037,0.011,0.031,0.057,0.091,0.031,0.028,0.022,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.005,0.0,0.047,0.088,0.058,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bok Choy,170390,0.33069366302756664,1.5,0.2,2.18,0.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.32,0.0,0.0,1.18,0.0,1.0,105.0,0.8,19.0,37.0,252.0,65.0,0.19,0.021,0.0,0.159,0.5,4468.0,0.0,223.0,2681.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.04,0.07,0.5,0.088,0.194,66.0,0.0,6.4,0.0,0.0,45.5,0.0,66.0,66.0,0.3,0.015,0.049,0.085,0.088,0.089,0.009,0.017,0.044,0.029,0.066,0.084,0.026,0.086,0.108,0.36,0.043,0.031,0.048,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.001,0.001,0.024,0.001,0.0,0.015,0.042,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Broccoli,170379,0.3791954002716098,2.82,0.37,6.64,0.87,34.0,0.0,0.1,0.49,0.68,0.21,0.21,0.0,89.3,0.0,0.0,1.7,0.0,2.6,47.0,0.73,21.0,66.0,316.0,33.0,0.41,0.049,0.0,0.21,2.5,623.0,0.0,31.0,361.0,25.0,0.78,0.0,0.0,0.0,0.0,1.0,0.0,1403.0,0.01,0.17,0.0,0.04,0.0,0.0,0.0,89.2,0.071,0.117,0.639,0.573,0.175,63.0,0.0,18.7,0.0,0.0,101.6,0.0,63.0,63.0,0.1,0.033,0.088,0.079,0.129,0.135,0.038,0.028,0.117,0.05,0.125,0.191,0.059,0.104,0.325,0.542,0.089,0.11,0.121,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.002,0.084,0.018,0.006,0.029,0.049,0.063,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Brown rice,169704,0.19391876399936508,2.74,0.97,25.58,0.44,123.0,24.79,0.24,0.0,0.0,0.0,0.0,0.0,70.27,0.0,0.0,0.24,0.0,1.6,3.0,0.56,39.0,103.0,86.0,4.0,0.71,0.106,0.0,0.974,5.8,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.13,0.06,0.46,0.0,0.0,0.178,0.069,2.561,0.38,0.123,9.0,0.0,9.2,0.0,0.0,0.2,0.0,9.0,9.0,0.5,0.033,0.095,0.109,0.214,0.099,0.058,0.031,0.133,0.097,0.151,0.196,0.066,0.151,0.242,0.526,0.127,0.121,0.134,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.002,0.015,0.002,0.009,0.198,0.022,0.004,0.365,0.355,0.011,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.366,0.002,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.365,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0
16,Brussels Sprouts,170383,0.4556223801713141,3.38,0.3,8.95,1.37,43.0,0.0,0.46,0.81,0.93,0.0,0.0,0.0,86.0,0.0,0.0,2.2,0.0,3.8,42.0,1.4,23.0,69.0,389.0,25.0,0.42,0.07,0.0,0.337,1.6,754.0,0.0,38.0,450.0,6.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.139,0.09,0.745,0.309,0.219,61.0,0.0,19.1,0.0,0.0,177.0,0.0,61.0,61.0,0.8,0.037,0.12,0.132,0.152,0.154,0.032,0.022,0.098,0.0,0.155,0.203,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.002,0.0,0.0,0.0,0.053,0.003,0.0,0.019,0.045,0.099,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.023,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Cabbage,169975,0.16534683151378332,1.28,0.1,5.8,0.64,25.0,0.0,0.08,1.67,1.45,0.0,0.01,0.0,92.18,0.0,0.0,3.2,0.0,2.5,40.0,0.47,12.0,26.0,170.0,18.0,0.18,0.019,1.0,0.16,0.3,98.0,0.0,5.0,42.0,33.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,36.6,0.061,0.04,0.234,0.212,0.124,43.0,0.0,10.7,0.0,0.0,76.0,0.0,43.0,43.0,0.4,0.011,0.035,0.03,0.041,0.044,0.012,0.011,0.032,0.019,0.042,0.075,0.022,0.042,0.122,0.294,0.03,0.048,0.053,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Cantaloupe,169092,0.3086474188257288,0.84,0.19,8.16,0.65,34.0,0.03,4.35,1.54,1.87,0.0,0.04,0.0,90.15,0.0,0.0,7.86,0.06,0.9,9.0,0.21,12.0,15.0,267.0,16.0,0.18,0.041,1.0,0.041,0.4,3382.0,0.0,169.0,2020.0,16.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,36.7,0.041,0.019,0.734,0.105,0.072,21.0,0.0,7.6,0.0,0.0,2.5,0.0,21.0,21.0,0.1,0.002,0.017,0.021,0.029,0.03,0.012,0.002,0.023,0.014,0.033,0.029,0.015,0.095,0.136,0.209,0.026,0.019,0.042,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.001,0.001,0.043,0.005,0.0,0.003,0.035,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.003,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
