,variable_name,variable_value
0,"(203,)_lower_bound_down",0.0
1,"(203,)_lower_bound_up",0.0
2,"(203,)_upper_bound_down",0.0
3,"(203,)_upper_bound_up",0.0
4,"(204,)_lower_bound_down",0.0
5,"(204,)_lower_bound_up",16.798876
6,"(204,)_upper_bound_down",0.0
7,"(204,)_upper_bound_up",0.0
8,"(205,)_lower_bound_down",0.0
9,"(205,)_lower_bound_up",78.1
10,"(205,)_upper_bound_down",0.0
11,"(205,)_upper_bound_up",0.0
12,"(208,)_equality_down",0.0
13,"(208,)_equality_up",0.0
14,"(208,)_lower_bound_down",0.0
15,"(208,)_lower_bound_up",0.0
16,"(262,)_lower_bound_down",0.0
17,"(262,)_lower_bound_up",0.0
18,"(262,)_upper_bound_down",0.0
19,"(262,)_upper_bound_up",0.0
20,"(291,)_lower_bound_down",0.0
21,"(291,)_lower_bound_up",0.0
22,"(301,)_lower_bound_down",0.0
23,"(301,)_lower_bound_up",0.0
24,"(303,)_lower_bound_down",0.0
25,"(303,)_lower_bound_up",0.0
26,"(304,)_lower_bound_down",0.0
27,"(304,)_lower_bound_up",0.0
28,"(305,)_lower_bound_down",0.0
29,"(305,)_lower_bound_up",0.0
30,"(306,)_lower_bound_down",0.0
31,"(306,)_lower_bound_up",0.0
32,"(307,)_lower_bound_down",0.0
33,"(307,)_lower_bound_up",0.0
34,"(307,)_upper_bound_down",0.0
35,"(307,)_upper_bound_up",0.0
36,"(309,)_lower_bound_down",0.0
37,"(309,)_lower_bound_up",0.0
38,"(312,)_lower_bound_down",0.0
39,"(312,)_lower_bound_up",0.0
40,"(317,)_lower_bound_down",0.0
41,"(317,)_lower_bound_up",0.0
42,"(319,)_lower_bound_down",0.0
43,"(319,)_lower_bound_up",0.0
44,"(320,)_lower_bound_down",0.0
45,"(320,)_lower_bound_up",0.0
46,"(320,)_upper_bound_down",0.0
47,"(320,)_upper_bound_up",0.0
48,"(321,)_lower_bound_down",0.0
49,"(321,)_lower_bound_up",0.0
50,"(322,)_lower_bound_down",0.0
51,"(322,)_lower_bound_up",0.0
52,"(323,)_lower_bound_down",0.0
53,"(323,)_lower_bound_up",0.0
54,"(328,)_lower_bound_down",0.0
55,"(328,)_lower_bound_up",5.916304
56,"(337,)_lower_bound_down",0.0
57,"(337,)_lower_bound_up",0.0
58,"(337,)_upper_bound_down",0.0
59,"(337,)_upper_bound_up",0.0
60,"(401,)_lower_bound_down",0.0
61,"(401,)_lower_bound_up",0.0
62,"(404,)_lower_bound_down",0.0
63,"(404,)_lower_bound_up",0.0
64,"(405,)_lower_bound_down",0.0
65,"(405,)_lower_bound_up",0.0
66,"(406,)_lower_bound_down",0.0
67,"(406,)_lower_bound_up",0.0
68,"(415,)_lower_bound_down",0.0
69,"(415,)_lower_bound_up",0.0
70,"(418,)_lower_bound_down",0.0
71,"(418,)_lower_bound_up",0.0
72,"(421,)_lower_bound_down",0.0
73,"(421,)_lower_bound_up",0.0
74,"(430,)_lower_bound_down",0.0
75,"(430,)_lower_bound_up",0.0
76,"(435,)_lower_bound_down",0.0
77,"(435,)_lower_bound_up",0.0
78,"(601,)_lower_bound_down",0.0
79,"(601,)_lower_bound_up",0.0
80,"(601,)_upper_bound_down",0.0
81,"(601,)_upper_bound_up",0.0
82,"(606,)_lower_bound_down",0.0
83,"(606,)_lower_bound_up",0.0
84,"(606,)_upper_bound_down",0.0
85,"(606,)_upper_bound_up",0.0
86,"(618,)_lower_bound_down",0.0
87,"(618,)_lower_bound_up",0.0
88,"(618,_619,_620)_lower_bound_down",0.0
89,"(618,_619,_620)_lower_bound_up",0.0
90,"(619,)_lower_bound_down",0.0
91,"(619,)_lower_bound_up",0.0
92,"(621,)_lower_bound_down",0.0
93,"(621,)_lower_bound_up",0.0
94,"(621,_629)_lower_bound_down",0.0
95,"(621,_629)_lower_bound_up",0.0
96,"(629,)_lower_bound_down",0.0
97,"(629,)_lower_bound_up",0.057485277
98,167755_Raspberries,0.0
99,167762_Strawberries,0.0
100,167765_Watermelon,0.0
101,167902_Ground_Pork,0.0
102,168389_Asparagus,0.0
103,168409_Cucumber,10.046598
104,168421_Kale,0.23257409
105,168462_Spinach,0.0
106,168482_Sweet_Potato,0.0
107,168608_Beef,0.0
108,168874_Quinoa,0.0
109,168893_Wheat_flour,0.0
110,168894_Enriched_wheat_flour,0.0
111,169092_Cantaloupe,0.0
112,169118_Pears,0.0
113,169124_Pineapple,0.0
114,169134_Pomegranates,0.0
115,169228_Eggplant,0.0
116,169230_Garlic,0.0
117,169247_Lettuce,0.0
118,169251_Mushrooms,0.0
119,169291_Zucchini,0.0
120,169415_Pumpkin_seeds,0.0
121,169451_Beef_Liver,0.05631853
122,169655_Sugar,0.0
123,169704_Brown_rice,0.0
124,169739_Barley_flour,0.0
125,169748_Corn_flour,0.0
126,169756_White_Rice,0.0
127,169910_Mango,0.0
128,169911_Honeydew_Melon,0.0
129,169918_Oranges,0.0
130,169928_Peaches,0.0
131,169975_Cabbage,0.0
132,169986_Cauliflower,1.2282621
133,169991_Swiss_Chard,0.0
134,169998_Corn,0.0
135,170000_Onions,0.0
136,170026_Potatoes,0.0
137,170108_Red_Bell_Pepper,0.0
138,170162_Cashews,0.0
139,170178_Macadamia_nuts,0.0
140,170187_Walnuts,0.24655778
141,170379_Broccoli,0.0
142,170383_Brussels_Sprouts,0.0
143,170390_Bok_Choy,0.0
144,170393_Carrots,0.033553888
145,170419_Peas,0.0
146,170427_Green_Bell_Pepper,0.0
147,170457_Tomatoes,0.53122176
148,170554_Chia_seeds,0.0
149,170562_Sunflower_seeds,0.18881977
150,170567_Almonds,0.0
151,170581_Hazelnuts,0.0
152,170894_Nonfat_Greek_Yogurt,0.0
153,171077_Chicken_breast,0.0
154,171098_Turkey,0.0
155,171267_2%_Milk,0.0
156,171269_Skim_Milk,0.044338751
157,171287_Eggs,0.0
158,171290_American_Cheese,0.0
159,171304_Whole_Greek_Yogurt,0.0
160,171413_Olive_Oil,0.0
161,171688_Apples,0.0
162,171705_Avocados,0.0
163,171711_Blueberries,0.0
164,171719_Cherries,0.0
165,171955_Cod,0.0
166,172183_Egg_whites,0.0
167,172385_Chicken_thigh,0.0
168,172428_Split_Peas,0.0
169,172430_Peanuts,0.0
170,173034_Grapefruit,0.0
171,173181_Soy_Protein_Powder,0.0
172,173460_Whey_Protein_Powder,0.0
173,173734_Black_Beans,0.0
174,173744_Kidney_Beans,0.0
175,173756_Chickpeas,0.0
176,173904_Oats,0.0
177,173944_Bananas,0.0
178,174216_Mussels,0.0
179,174219_Oysters,0.0
180,174284_Lentils,0.0
181,175138_Pink_Salmon,0.60246355
182,175139_Sardines,0.0
183,175158_Tuna,0.0
184,175167_Atlantic_Salmon,0.0
185,175179_Shrimp,0.0
186,175202_White_Beans,0.0
